ddxplus_evidence_id,ddxplus_code_question,question_en,is_antecedent,data_type,default_value,possible_values_count,value_meaning_count,internal_symptom_code_guess,internal_context_code_guess,internal_body_region_guess,mapping_role,match_type,review_status,approved_internal_code,review_notes
E_0,E_0,Have you recently had a viral infection?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_1,E_1,Are you currently being treated or have you recently been treated with an oral antibiotic for an ear infection?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_10,E_10,Are you currently taking or have you recently taken anti-inflammatory drugs (NSAIDs)?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_100,E_100,Do you currently take hormones?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_101,E_101,Have you been hospitalized for an asthma attack in the past year?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_102,E_102,Are you consulting because you have high blood pressure?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_103,E_103,Have you lost your sense of smell?,False,B,0,0,0,,,,,unmapped,needs_review,,
E_104,E_104,Do you have high blood pressure or do you take medications to treat high blood pressure?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_105,E_105,Have you ever had a heart attack or do you have angina (chest pain)?,True,B,0,0,0,pain,,chest,symptom,keyword,needs_review,,
E_106,E_106,Do you have heart failure?,True,B,0,0,0,hearing_change,,ear_nose_throat,symptom,keyword,needs_review,,
E_107,E_107,Have you ever had a stroke?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_108,E_108,Do you have a problem with poor circulation?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_109,E_109,Have you ever had deep vein thrombosis (DVT)?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_11,E_11,Have you breastfed one of your children for more than 9 months?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_110,E_110,Have you been unable to move or get up for more than 3 consecutive days within the last 4 weeks?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_111,E_111,Do you feel like you are dying or were you afraid that you were about do die?,False,B,0,0,0,,,,,unmapped,needs_review,,
E_112,E_112,Do you wheeze while inhaling or is your breathing noisy after coughing spells?,False,B,0,0,0,cough,,general,symptom,keyword,needs_review,,
E_113,E_113,Do you have chronic kidney failure?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_114,E_114,Are you more irritable or has your mood been very unstable recently?,False,B,0,0,0,,,,,unmapped,needs_review,,
E_115,E_115,Have you had unprotected sex with more than one partner in the last 6 months?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_116,E_116,Have you had a cold in the last 2 weeks?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_118,E_117,Have you ever had pneumonia?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_119,E_119,Have you been diagnosed with chronic sinusitis?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_12,E_12,Do you have a known severe food allergy?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_120,E_120,Do you have polyps in your nose?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_121,E_121,Do you have a deviated nasal septum?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_123,E_122,Do you have a chronic obstructive pulmonary disease (COPD)?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_124,E_124,Do you have asthma or have you ever had to use a bronchodilator in the past?,True,B,0,0,0,,,,,unmapped,needs_review,,
E_125,E_125,Have you ever been diagnosed with gastroesophageal reflux?,True,B,0,0,0,,,,,unmapped,needs_review,,
