ddxplus_condition_name,ddxplus_condition_name_eng,ddxplus_icd10_id,ddxplus_severity,ddxplus_symptom_count,ddxplus_antecedent_count,internal_condition_code_guess,internal_condition_name_guess,match_type,review_status,approved_internal_condition_code,review_notes
Acute COPD exacerbation / infection,Acute COPD exacerbation / infection,j44.1,3,4,9,,,unmapped,needs_review,,
Acute dystonic reactions,Acute dystonic reactions,G24.02,2,8,4,,,unmapped,needs_review,,
Acute laryngitis,Acute laryngitis,J04.0,4,10,5,,,unmapped,needs_review,,
Acute otitis media,Acute otitis media,H66.90,4,11,3,otitis_media,중이염 의심,alias,needs_review,,
Acute pulmonary edema,Acute pulmonary edema,J81.0,1,15,6,,,unmapped,needs_review,,
Acute rhinosinusitis,Acute rhinosinusitis,j01,4,12,10,,,unmapped,needs_review,,
Allergic sinusitis,Allergic sinusitis,J30,4,4,6,allergic_rhinitis,알레르기 비염,alias,needs_review,,
Anaphylaxis,Anaphylaxis,T78.0,1,25,3,,,unmapped,needs_review,,
Anemia,Anemia,D64.9,4,16,8,anemia,빈혈,alias,needs_review,,
Atrial fibrillation,Atrial fibrillation,I48.91,3,5,9,arrhythmia_candidate,부정맥 관련 가능성,alias,needs_review,,
Boerhaave,Boerhaave,K22.3,2,11,2,,,unmapped,needs_review,,
Bronchiectasis,Bronchiectasis,J47,3,4,9,,,unmapped,needs_review,,
Bronchiolitis,Bronchiolitis,j21,3,7,6,,,unmapped,needs_review,,
Bronchitis,Bronchitis,j40,4,15,4,common_cold,감기/상기도 감염,loose_alias,needs_review,,
Bronchospasm / acute asthma exacerbation,Bronchospasm / acute asthma exacerbation,J45,3,3,10,,,unmapped,needs_review,,
Chagas,Chagas,B57,3,16,1,,,unmapped,needs_review,,
Chronic rhinosinusitis,Chronic rhinosinusitis,j32,5,11,9,,,unmapped,needs_review,,
Cluster headache,Cluster headache,g44.009,3,10,4,,,unmapped,needs_review,,
Croup,Croup,J05.0,2,7,3,,,unmapped,needs_review,,
Ebola,Ebola,a98.4,1,10,3,,,unmapped,needs_review,,
Epiglottitis,Epiglottitis,J05.1,2,14,6,,,unmapped,needs_review,,
GERD,GERD,K21,3,13,7,gastritis_or_peptic_ulcer,위염/소화성 궤양 가능성,loose_alias,needs_review,,
Guillain-Barré syndrome,Guillain-Barré syndrome,G61.0,2,8,2,,,unmapped,needs_review,,
HIV (initial infection),HIV (initial infection),B20,3,24,5,,,unmapped,needs_review,,
Influenza,Influenza,j11.1,3,24,3,viral_infection,바이러스 감염,loose_alias,needs_review,,
Inguinal hernia,Inguinal hernia,K40,3,19,3,,,unmapped,needs_review,,
Larygospasm,Larygospasm,J38.5,1,1,6,,,unmapped,needs_review,,
Localized edema,Localized edema,R60.0,4,13,12,,,unmapped,needs_review,,
Myasthenia gravis,Myasthenia gravis,G70.0,3,9,2,,,unmapped,needs_review,,
Myocarditis,Myocarditis,I51.4,2,14,2,,,unmapped,needs_review,,
PSVT,PSVT,I47.1,2,12,5,,,unmapped,needs_review,,
Pancreatic neoplasm,Pancreatic neoplasm,c25,3,21,6,,,unmapped,needs_review,,
Panic attack,Panic attack,f41,5,18,9,arrhythmia_candidate,부정맥 관련 가능성,loose_alias,needs_review,,
Pericarditis,Pericarditis,I30,4,11,3,,,unmapped,needs_review,,
Pneumonia,Pneumonia,"j17, j18",3,27,12,,,unmapped,needs_review,,
Possible NSTEMI / STEMI,Possible NSTEMI / STEMI,I21,1,12,11,,,unmapped,needs_review,,
Pulmonary embolism,Pulmonary embolism,i26,2,13,6,,,unmapped,needs_review,,
Pulmonary neoplasm,Pulmonary neoplasm,c34,3,13,5,,,unmapped,needs_review,,
SLE,SLE,M32,4,18,6,,,unmapped,needs_review,,
Sarcoidosis,Sarcoidosis,d86,4,20,3,,,unmapped,needs_review,,
Scombroid food poisoning,Scombroid food poisoning,T61.1,2,15,2,,,unmapped,needs_review,,
Spontaneous pneumothorax,Spontaneous pneumothorax,J93,2,12,5,,,unmapped,needs_review,,
Spontaneous rib fracture,Spontaneous rib fracture,S22.9,3,13,4,,,unmapped,needs_review,,
Stable angina,Stable angina,I20.9,2,10,10,,,unmapped,needs_review,,
Tuberculosis,Tuberculosis,a15,3,5,7,,,unmapped,needs_review,,
URTI,URTI,j06.9,5,14,6,common_cold,감기/상기도 감염,alias,needs_review,,
Unstable angina,Unstable angina,I20.0,2,14,10,,,unmapped,needs_review,,
Viral pharyngitis,Viral pharyngitis,J02.9,4,11,6,upper_respiratory_infection,상기도 감염,alias,needs_review,,
Whooping cough,Whooping cough,A37,4,3,5,,,unmapped,needs_review,,
